performance_id,student_id,subject,assessment_type,assessment_date,marks_obtained,total_marks,percentage,grade_letter
132,1025,Science,Test,2025-08-17,63,100,63,D
133,1026,Science,Test,2025-08-17,81,100,81,B
134,1027,Science,Project,2025-08-17,81,100,81,B
135,1028,Science,Assignment,2025-08-17,74,100,74,C
136,1029,Science,Assignment,2025-08-17,59,100,59,D
137,1000,English,Project,2025-08-15,78,100,78,C
138,1001,English,Assignment,2025-08-15,85,100,85,B
139,1002,English,Quiz,2025-08-15,72,100,72,C
140,1003,English,Assignment,2025-08-15,59,100,59,D
141,1004,English,Quiz,2025-08-15,57,100,57,D
142,1005,English,Test,2025-08-15,62,100,62,D
143,1006,English,Quiz,2025-08-15,74,100,74,C
144,1007,English,Test,2025-08-15,76,100,76,C
145,1008,English,Assignment,2025-08-15,87,100,87,B
146,1009,English,Quiz,2025-08-15,56,100,56,D
147,1010,English,Quiz,2025-08-15,59,100,59,D
148,1011,English,Assignment,2025-08-15,60,100,60,D
149,1012,English,Quiz,2025-08-15,68,100,68,D
150,1013,English,Test,2025-08-15,73,100,73,C
151,1015,English,Quiz,2025-08-15,67,100,67,D
152,1016,English,Project,2025-08-15,84,100,84,B
153,1017,English,Quiz,2025-08-15,73,100,73,C
154,1018,English,Assignment,2025-08-15,61,100,61,D
155,1019,English,Test,2025-08-15,73,100,73,C
156,1020,English,Project,2025-08-15,76,100,76,C
157,1021,English,Quiz,2025-08-15,72,100,72,C
158,1022,English,Assignment,2025-08-15,91,100,91,A
159,1023,English,Assignment,2025-08-15,61,100,61,D
160,1024,English,Assignment,2025-08-15,81,100,81,B
161,1026,English,Project,2025-08-15,65,100,65,D
162,1027,English,Test,2025-08-15,89,100,89,B
163,1028,English,Project,2025-08-15,61,100,61,D
164,1029,English,Quiz,2025-08-15,78,100,78,C
165,1000,English,Assignment,2025-08-27,83,100,83,B
166,1001,English,Quiz,2025-08-27,64,100,64,D
167,1002,English,Assignment,2025-08-27,72,100,72,C
168,1003,English,Quiz,2025-08-27,79,100,79,C
169,1004,English,Test,2025-08-27,80,100,80,B
170,1005,English,Quiz,2025-08-27,84,100,84,B
171,1006,English,Test,2025-08-27,79,100,79,C
172,1007,English,Assignment,2025-08-27,59,100,59,D
173,1008,English,Project,2025-08-27,81,100,81,B
174,1009,English,Assignment,2025-08-27,70,100,70,C
175,1010,English,Project,2025-08-27,74,100,74,C
176,1011,English,Assignment,2025-08-27,59,100,59,D
177,1012,English,Test,2025-08-27,60,100,60,D
178,1013,English,Test,2025-08-27,83,100,83,B
179,1014,English,Project,2025-08-27,61,100,61,D
180,1015,English,Project,2025-08-27,65,100,65,D
181,1017,English,Quiz,2025-08-27,84,100,84,B
182,1018,English,Test,2025-08-27,84,100,84,B
183,1019,English,Test,2025-08-27,71,100,71,C
184,1020,English,Quiz,2025-08-27,61,100,61,D
185,1022,English,Quiz,2025-08-27,73,100,73,C
186,1023,English,Project,2025-08-27,65,100,65,D
187,1024,English,Quiz,2025-08-27,56,100,56,D
188,1025,English,Quiz,2025-08-27,87,100,87,B
189,1027,English,Assignment,2025-08-27,68,100,68,D
190,1028,English,Quiz,2025-08-27,75,100,75,C
191,1029,English,Test,2025-08-27,72,100,72,C
192,1000,English,Project,2025-08-10,67,100,67,D
193,1001,English,Test,2025-08-10,57,100,57,D
194,1002,English,Test,2025-08-10,74,100,74,C
195,1003,English,Assignment,2025-08-10,91,100,91,A
196,1004,English,Assignment,2025-08-10,78,100,78,C
197,1005,English,Quiz,2025-08-10,89,100,89,B
198,1006,English,Project,2025-08-10,59,100,59,D
199,1007,English,Test,2025-08-10,67,100,67,D
200,1008,English,Test,2025-08-10,84,100,84,B
201,1009,English,Quiz,2025-08-10,67,100,67,D
202,1010,English,Assignment,2025-08-10,84,100,84,B
203,1011,English,Test,2025-08-10,89,100,89,B
204,1012,English,Assignment,2025-08-10,84,100,84,B
205,1013,English,Assignment,2025-08-10,56,100,56,D
206,1014,English,Project,2025-08-10,67,100,67,D
207,1016,English,Project,2025-08-10,72,100,72,C
208,1017,English,Test,2025-08-10,71,100,71,C
209,1018,English,Project,2025-08-10,64,100,64,D
210,1019,English,Quiz,2025-08-10,68,100,68,D
211,1020,English,Assignment,2025-08-10,69,100,69,D
212,1021,English,Test,2025-08-10,82,100,82,B
213,1022,English,Test,2025-08-10,86,100,86,B
214,1023,English,Quiz,2025-08-10,79,100,79,C
215,1024,English,Assignment,2025-08-10,78,100,78,C
216,1025,English,Assignment,2025-08-10,94,100,94,A
217,1027,English,Quiz,2025-08-10,64,100,64,D
218,1028,English,Project,2025-08-10,58,100,58,D
219,1029,English,Quiz,2025-08-10,71,100,71,C
220,1000,Social Studies,Assignment,2025-08-14,84,100,84,B
221,1001,Social Studies,Assignment,2025-08-14,67,100,67,D
222,1002,Social Studies,Assignment,2025-08-14,91,100,91,A
223,1003,Social Studies,Test,2025-08-14,71,100,71,C
224,1004,Social Studies,Quiz,2025-08-14,75,100,75,C
225,1005,Social Studies,Assignment,2025-08-14,80,100,80,B
226,1006,Social Studies,Project,2025-08-14,77,100,77,C
227,1007,Social Studies,Quiz,2025-08-14,58,100,58,D
228,1008,Social Studies,Quiz,2025-08-14,59,100,59,D
229,1009,Social Studies,Assignment,2025-08-14,57,100,57,D
230,1010,Social Studies,Project,2025-08-14,66,100,66,D
231,1011,Social Studies,Quiz,2025-08-14,88,100,88,B
232,1012,Social Studies,Assignment,2025-08-14,78,100,78,C
233,1014,Social Studies,Project,2025-08-14,63,100,63,D
234,1015,Social Studies,Project,2025-08-14,63,100,63,D
235,1016,Social Studies,Assignment,2025-08-14,62,100,62,D
236,1017,Social Studies,Test,2025-08-14,58,100,58,D
237,1018,Social Studies,Assignment,2025-08-14,60,100,60,D
238,1019,Social Studies,Quiz,2025-08-14,64,100,64,D
239,1020,Social Studies,Test,2025-08-14,73,100,73,C
240,1021,Social Studies,Project,2025-08-14,91,100,91,A
241,1022,Social Studies,Test,2025-08-14,73,100,73,C
242,1023,Social Studies,Assignment,2025-08-14,64,100,64,D
243,1024,Social Studies,Quiz,2025-08-14,60,100,60,D
244,1025,Social Studies,Assignment,2025-08-14,86,100,86,B
245,1026,Social Studies,Quiz,2025-08-14,60,100,60,D
246,1027,Social Studies,Project,2025-08-14,87,100,87,B
247,1028,Social Studies,Quiz,2025-08-14,68,100,68,D
248,1029,Social Studies,Project,2025-08-14,83,100,83,B
249,1001,Social Studies,Project,2025-08-15,65,100,65,D
250,1002,Social Studies,Test,2025-08-15,92,100,92,A
251,1003,Social Studies,Quiz,2025-08-15,82,100,82,B
252,1006,Social Studies,Assignment,2025-08-15,83,100,83,B
253,1007,Social Studies,Assignment,2025-08-15,84,100,84,B
254,1008,Social Studies,Assignment,2025-08-15,80,100,80,B
255,1010,Social Studies,Quiz,2025-08-15,74,100,74,C
256,1011,Social Studies,Project,2025-08-15,71,100,71,C
257,1012,Social Studies,Project,2025-08-15,86,100,86,B
258,1013,Social Studies,Assignment,2025-08-15,64,100,64,D
259,1014,Social Studies,Test,2025-08-15,65,100,65,D
260,1015,Social Studies,Quiz,2025-08-15,87,100,87,B
261,1016,Social Studies,Test,2025-08-15,59,100,59,D
262,1017,Social Studies,Quiz,2025-08-15,62,100,62,D
263,1018,Social Studies,Test,2025-08-15,73,100,73,C
264,1019,Social Studies,Test,2025-08-15,57,100,57,D
265,1020,Social Studies,Quiz,2025-08-15,70,100,70,C
266,1021,Social Studies,Quiz,2025-08-15,83,100,83,B
267,1022,Social Studies,Assignment,2025-08-15,59,100,59,D
268,1023,Social Studies,Project,2025-08-15,91,100,91,A
269,1024,Social Studies,Assignment,2025-08-15,79,100,79,C
270,1025,Social Studies,Assignment,2025-08-15,60,100,60,D
271,1026,Social Studies,Project,2025-08-15,74,100,74,C
272,1027,Social Studies,Project,2025-08-15,60,100,60,D
273,1028,Social Studies,Assignment,2025-08-15,74,100,74,C
274,1029,Social Studies,Test,2025-08-15,82,100,82,B
275,1000,Hindi,Assignment,2025-08-13,83,100,83,B
276,1001,Hindi,Quiz,2025-08-13,61,100,61,D
277,1002,Hindi,Test,2025-08-13,60,100,60,D
278,1003,Hindi,Test,2025-08-13,59,100,59,D
279,1004,Hindi,Assignment,2025-08-13,73,100,73,C
280,1005,Hindi,Test,2025-08-13,76,100,76,C
281,1007,Hindi,Assignment,2025-08-13,77,100,77,C
282,1008,Hindi,Project,2025-08-13,80,100,80,B
283,1009,Hindi,Test,2025-08-13,67,100,67,D
284,1010,Hindi,Project,2025-08-13,82,100,82,B
285,1011,Hindi,Quiz,2025-08-13,61,100,61,D
286,1012,Hindi,Project,2025-08-13,89,100,89,B
287,1013,Hindi,Quiz,2025-08-13,81,100,81,B
288,1014,Hindi,Project,2025-08-13,78,100,78,C
289,1015,Hindi,Assignment,2025-08-13,68,100,68,D
290,1017,Hindi,Quiz,2025-08-13,59,100,59,D
291,1018,Hindi,Project,2025-08-13,85,100,85,B
292,1019,Hindi,Project,2025-08-13,85,100,85,B
293,1020,Hindi,Quiz,2025-08-13,67,100,67,D
294,1021,Hindi,Project,2025-08-13,72,100,72,C
295,1022,Hindi,Quiz,2025-08-13,59,100,59,D
296,1023,Hindi,Assignment,2025-08-13,69,100,69,D
297,1024,Hindi,Test,2025-08-13,75,100,75,C
298,1025,Hindi,Assignment,2025-08-13,77,100,77,C
299,1026,Hindi,Project,2025-08-13,64,100,64,D
300,1027,Hindi,Quiz,2025-08-13,67,100,67,D
301,1028,Hindi,Assignment,2025-08-13,83,100,83,B
302,1029,Hindi,Assignment,2025-08-13,57,100,57,D
303,1000,Hindi,Assignment,2025-09-03,78,100,78,C
304,1001,Hindi,Assignment,2025-09-03,85,100,85,B
305,1002,Hindi,Project,2025-09-03,68,100,68,D
306,1003,Hindi,Assignment,2025-09-03,81,100,81,B
307,1004,Hindi,Test,2025-09-03,62,100,62,D
308,1005,Hindi,Project,2025-09-03,76,100,76,C
309,1006,Hindi,Project,2025-09-03,59,100,59,D
310,1007,Hindi,Quiz,2025-09-03,78,100,78,C
311,1008,Hindi,Assignment,2025-09-03,90,100,90,A
312,1009,Hindi,Project,2025-09-03,67,100,67,D
313,1010,Hindi,Quiz,2025-09-03,78,100,78,C
314,1011,Hindi,Project,2025-09-03,72,100,72,C
315,1012,Hindi,Quiz,2025-09-03,80,100,80,B
316,1013,Hindi,Project,2025-09-03,80,100,80,B
317,1015,Hindi,Test,2025-09-03,88,100,88,B
318,1016,Hindi,Test,2025-09-03,80,100,80,B
319,1017,Hindi,Assignment,2025-09-03,58,100,58,D
320,1018,Hindi,Quiz,2025-09-03,64,100,64,D
321,1019,Hindi,Assignment,2025-09-03,89,100,89,B
322,1020,Hindi,Quiz,2025-09-03,56,100,56,D
323,1021,Hindi,Test,2025-09-03,90,100,90,A
324,1023,Hindi,Project,2025-09-03,76,100,76,C
325,1024,Hindi,Test,2025-09-03,86,100,86,B
326,1025,Hindi,Project,2025-09-03,75,100,75,C
327,1026,Hindi,Test,2025-09-03,64,100,64,D
328,1027,Hindi,Quiz,2025-09-03,87,100,87,B
329,1028,Hindi,Project,2025-09-03,86,100,86,B
330,1029,Hindi,Quiz,2025-09-03,78,100,78,C
331,1001,Computer Science,Quiz,2025-08-10,63,100,63,D
332,1002,Computer Science,Quiz,2025-08-10,80,100,80,B
333,1003,Computer Science,Assignment,2025-08-10,61,100,61,D
334,1004,Computer Science,Assignment,2025-08-10,81,100,81,B
335,1005,Computer Science,Quiz,2025-08-10,76,100,76,C
336,1006,Computer Science,Test,2025-08-10,76,100,76,C
337,1008,Computer Science,Quiz,2025-08-10,79,100,79,C
338,1009,Computer Science,Assignment,2025-08-10,79,100,79,C
339,1010,Computer Science,Quiz,2025-08-10,78,100,78,C
340,1011,Computer Science,Assignment,2025-08-10,72,100,72,C
341,1012,Computer Science,Quiz,2025-08-10,77,100,77,C
342,1013,Computer Science,Test,2025-08-10,70,100,70,C
343,1014,Computer Science,Assignment,2025-08-10,86,100,86,B
344,1015,Computer Science,Test,2025-08-10,71,100,71,C
345,1017,Computer Science,Assignment,2025-08-10,72,100,72,C
346,1018,Computer Science,Quiz,2025-08-10,79,100,79,C
347,1019,Computer Science,Assignment,2025-08-10,67,100,67,D
348,1020,Computer Science,Assignment,2025-08-10,84,100,84,B
349,1021,Computer Science,Quiz,2025-08-10,82,100,82,B
350,1022,Computer Science,Quiz,2025-08-10,83,100,83,B
351,1023,Computer Science,Quiz,2025-08-10,75,100,75,C
352,1024,Computer Science,Quiz,2025-08-10,73,100,73,C
353,1025,Computer Science,Quiz,2025-08-10,62,100,62,D
354,1026,Computer Science,Project,2025-08-10,67,100,67,D
355,1027,Computer Science,Test,2025-08-10,88,100,88,B
356,1029,Computer Science,Test,2025-08-10,82,100,82,B
357,1000,Computer Science,Assignment,2025-08-21,89,100,89,B
358,1001,Computer Science,Project,2025-08-21,77,100,77,C
359,1002,Computer Science,Test,2025-08-21,66,100,66,D
360,1003,Computer Science,Quiz,2025-08-21,87,100,87,B
361,1004,Computer Science,Test,2025-08-21,61,100,61,D
362,1005,Computer Science,Test,2025-08-21,56,100,56,D
363,1006,Computer Science,Assignment,2025-08-21,67,100,67,D
364,1007,Computer Science,Project,2025-08-21,84,100,84,B
365,1008,Computer Science,Assignment,2025-08-21,70,100,70,C
366,1009,Computer Science,Test,2025-08-21,78,100,78,C
367,1010,Computer Science,Project,2025-08-21,70,100,70,C
368,1011,Computer Science,Quiz,2025-08-21,72,100,72,C
369,1012,Computer Science,Test,2025-08-21,74,100,74,C
370,1013,Computer Science,Project,2025-08-21,78,100,78,C
371,1014,Computer Science,Project,2025-08-21,84,100,84,B
372,1015,Computer Science,Test,2025-08-21,64,100,64,D
373,1016,Computer Science,Assignment,2025-08-21,74,100,74,C
374,1017,Computer Science,Project,2025-08-21,73,100,73,C
375,1018,Computer Science,Project,2025-08-21,82,100,82,B
376,1019,Computer Science,Quiz,2025-08-21,69,100,69,D
377,1020,Computer Science,Assignment,2025-08-21,88,100,88,B
378,1021,Computer Science,Assignment,2025-08-21,69,100,69,D
379,1022,Computer Science,Project,2025-08-21,73,100,73,C
380,1024,Computer Science,Assignment,2025-08-21,86,100,86,B
381,1025,Computer Science,Test,2025-08-21,81,100,81,B
382,1026,Computer Science,Test,2025-08-21,75,100,75,C
383,1027,Computer Science,Test,2025-08-21,85,100,85,B
384,1028,Computer Science,Project,2025-08-21,75,100,75,C
385,1029,Computer Science,Project,2025-08-21,67,100,67,D
386,1000,Computer Science,Quiz,2025-09-03,71,100,71,C
387,1001,Computer Science,Assignment,2025-09-03,80,100,80,B
388,1002,Computer Science,Quiz,2025-09-03,93,100,93,A
389,1003,Computer Science,Assignment,2025-09-03,85,100,85,B
390,1004,Computer Science,Test,2025-09-03,70,100,70,C
391,1005,Computer Science,Assignment,2025-09-03,74,100,74,C
392,1006,Computer Science,Quiz,2025-09-03,63,100,63,D
393,1007,Computer Science,Assignment,2025-09-03,91,100,91,A
394,1008,Computer Science,Quiz,2025-09-03,89,100,89,B
395,1009,Computer Science,Quiz,2025-09-03,80,100,80,B
396,1010,Computer Science,Test,2025-09-03,79,100,79,C
397,1011,Computer Science,Test,2025-09-03,87,100,87,B
398,1012,Computer Science,Quiz,2025-09-03,85,100,85,B
399,1013,Computer Science,Assignment,2025-09-03,87,100,87,B
400,1014,Computer Science,Quiz,2025-09-03,77,100,77,C
401,1015,Computer Science,Quiz,2025-09-03,67,100,67,D
402,1016,Computer Science,Assignment,2025-09-03,65,100,65,D
403,1017,Computer Science,Assignment,2025-09-03,64,100,64,D
404,1018,Computer Science,Assignment,2025-09-03,82,100,82,B
405,1019,Computer Science,Test,2025-09-03,81,100,81,B
406,1021,Computer Science,Test,2025-09-03,67,100,67,D
407,1022,Computer Science,Test,2025-09-03,69,100,69,D
408,1023,Computer Science,Assignment,2025-09-03,83,100,83,B
409,1024,Computer Science,Quiz,2025-09-03,83,100,83,B
410,1025,Computer Science,Quiz,2025-09-03,87,100,87,B
411,1026,Computer Science,Project,2025-09-03,91,100,91,A
412,1027,Computer Science,Project,2025-09-03,66,100,66,D
413,1028,Computer Science,Test,2025-09-03,79,100,79,C
414,1029,Computer Science,Test,2025-09-03,76,100,76,C
415,1030,Mathematics,Project,2025-09-04,71,100,71,C
416,1031,Mathematics,Assignment,2025-09-04,73,100,73,C
417,1032,Mathematics,Project,2025-09-04,79,100,79,C
418,1033,Mathematics,Assignment,2025-09-04,74,100,74,C
419,1034,Mathematics,Quiz,2025-09-04,61,100,61,D
420,1035,Mathematics,Test,2025-09-04,78,100,78,C
421,1036,Mathematics,Quiz,2025-09-04,59,100,59,D
422,1037,Mathematics,Quiz,2025-09-04,75,100,75,C
423,1038,Mathematics,Assignment,2025-09-04,58,100,58,D
424,1039,Mathematics,Assignment,2025-09-04,84,100,84,B
425,1040,Mathematics,Test,2025-09-04,83,100,83,B
426,1041,Mathematics,Test,2025-09-04,62,100,62,D
427,1042,Mathematics,Project,2025-09-04,79,100,79,C
428,1043,Mathematics,Test,2025-09-04,89,100,89,B
429,1044,Mathematics,Test,2025-09-04,72,100,72,C
430,1045,Mathematics,Test,2025-09-04,58,100,58,D
431,1047,Mathematics,Quiz,2025-09-04,68,100,68,D
432,1048,Mathematics,Project,2025-09-04,67,100,67,D
433,1050,Mathematics,Project,2025-09-04,84,100,84,B
434,1051,Mathematics,Project,2025-09-04,62,100,62,D
435,1052,Mathematics,Assignment,2025-09-04,76,100,76,C
436,1053,Mathematics,Quiz,2025-09-04,72,100,72,C
437,1054,Mathematics,Quiz,2025-09-04,83,100,83,B
438,1055,Mathematics,Test,2025-09-04,89,100,89,B
439,1030,Mathematics,Quiz,2025-08-24,70,100,70,C
440,1031,Mathematics,Test,2025-08-24,76,100,76,C
441,1032,Mathematics,Assignment,2025-08-24,81,100,81,B
442,1033,Mathematics,Assignment,2025-08-24,68,100,68,D
443,1034,Mathematics,Test,2025-08-24,85,100,85,B
444,1035,Mathematics,Test,2025-08-24,85,100,85,B
445,1036,Mathematics,Project,2025-08-24,73,100,73,C
446,1037,Mathematics,Quiz,2025-08-24,85,100,85,B
447,1038,Mathematics,Test,2025-08-24,82,100,82,B
448,1039,Mathematics,Assignment,2025-08-24,83,100,83,B
449,1040,Mathematics,Quiz,2025-08-24,65,100,65,D
450,1041,Mathematics,Project,2025-08-24,56,100,56,D
451,1042,Mathematics,Test,2025-08-24,72,100,72,C
452,1043,Mathematics,Quiz,2025-08-24,63,100,63,D
453,1044,Mathematics,Project,2025-08-24,66,100,66,D
454,1045,Mathematics,Project,2025-08-24,71,100,71,C
455,1046,Mathematics,Test,2025-08-24,87,100,87,B
456,1047,Mathematics,Assignment,2025-08-24,70,100,70,C
457,1048,Mathematics,Quiz,2025-08-24,64,100,64,D
458,1049,Mathematics,Test,2025-08-24,57,100,57,D
459,1050,Mathematics,Test,2025-08-24,87,100,87,B
460,1051,Mathematics,Quiz,2025-08-24,60,100,60,D
461,1052,Mathematics,Project,2025-08-24,55,100,55,D
462,1053,Mathematics,Assignment,2025-08-24,77,100,77,C
463,1055,Mathematics,Quiz,2025-08-24,90,100,90,A
464,1030,Science,Quiz,2025-08-19,74,100,74,C
465,1031,Science,Quiz,2025-08-19,60,100,60,D
466,1032,Science,Project,2025-08-19,78,100,78,C
467,1033,Science,Quiz,2025-08-19,88,100,88,B
468,1034,Science,Quiz,2025-08-19,67,100,67,D
469,1035,Science,Test,2025-08-19,75,100,75,C
470,1037,Science,Assignment,2025-08-19,76,100,76,C
471,1038,Science,Quiz,2025-08-19,69,100,69,D
472,1039,Science,Quiz,2025-08-19,64,100,64,D
473,1041,Science,Test,2025-08-19,75,100,75,C
474,1042,Science,Quiz,2025-08-19,84,100,84,B
475,1043,Science,Quiz,2025-08-19,59,100,59,D
476,1044,Science,Quiz,2025-08-19,72,100,72,C
477,1045,Science,Project,2025-08-19,83,100,83,B
478,1047,Science,Project,2025-08-19,58,100,58,D
479,1049,Science,Assignment,2025-08-19,68,100,68,D
480,1050,Science,Quiz,2025-08-19,58,100,58,D
481,1051,Science,Quiz,2025-08-19,90,100,90,A
482,1052,Science,Project,2025-08-19,60,100,60,D
483,1053,Science,Assignment,2025-08-19,71,100,71,C
484,1054,Science,Project,2025-08-19,78,100,78,C
485,1055,Science,Project,2025-08-19,74,100,74,C
486,1030,Science,Project,2025-08-15,71,100,71,C
487,1031,Science,Test,2025-08-15,89,100,89,B
